Well identifier,Surface,X,Y,Z,MD,TWT picked,Z * -1,VINT,TWT auto
21/30-13Z,Smith_Bank,376262.56,6330020.25,-9951.68,11266,,9951.68,7929.941432,2509.9
21/30-14,Tay_Sand,377222.57,6326681.75,-6469.9,6560,,6469.9,6479.262534,1997.11
21/30-15,Tay_Sand,376374.76,6327991.1,-6414.93,6505,,6414.93,6472.372304,1982.25
21/30-17,Tay_Sand,375555.26,6324141.02,-6319.04,6407,,6319.04,6484.990918,1948.82
22/26a-1,Tay_Sand,381153.6,6326940.5,-7424.64,7505,,7424.64,6541.878866,2269.88
21/30-14,Tay_Shale,377223.26,6326682.56,-6161.92,6252,,6161.92,6447.7487,1911.34
21/30-17,Tay_Shale,375554.96,6324141.88,-6474.01,6562,,6474.01,6526.581615,1983.89
21/30-13Z,Tor,376461.77,6329681.42,-7456.08,8440,,7456.08,6943.768742,2147.56
21/30-14,Tor,377221.15,6326680.15,-7119.86,7210,2162.75,7119.86,6609.230826,2154.52
21/30-17,Tor,375554.37,6324145.05,-7004.9,7093,2112.36,7004.9,6661.879809,2102.98
21/30-18,Tor,376762.63,6322480.68,-6855.01,7172,2094.25,6855.01,6594.621375,2078.97
22/27a-1,Tor,392865.4,6329902.8,-10399.63,10490,,10399.63,7000.360127,2971.17
21/30-1,Valhall,377065.29,6328980.61,-7317.65,7406,2164.25,7317.65,6764.953314,2163.4
21/30-18,Valhall,376670.04,6322586.7,-7864,8288,2254.25,7864,7017.199456,2241.35
21/30-13Z,Valhall,376386.62,6329788.66,-8421.54,9497,2283,8421.54,7377.317583,2283.09
22/27a-1,Valhall,392839.02,6329909.83,-13742.34,13834,3414.31,13742.34,8107.431727,3390.06
21/30-1,Zechstein,377065.09,6328994.67,-8160.21,8250,,8160.21,6979.370333,2338.38
21/30-1,Ekofisk,377065.34,6328976.89,-6809.8,6898,2089.39,6809.8,6528.393594,2086.21
21/30-13Z,Ekofisk,376463.44,6329679.17,-7438.32,8420,2172,7438.32,6935.496503,2145
21/30-14,Tor,377221.15,6326680.15,-7119.86,7210,2162.75,7119.86,6609.230826,2154.52
21/30-15,Ekofisk,376376.72,6327989.62,-7111.88,7202,2161.72,7111.88,6608.417698,2152.37
21/30-17,Tor,375554.37,6324145.05,-7004.9,7093,2112.36,7004.9,6661.879809,2102.98
21/30-18,Tor,376762.63,6322480.68,-6855.01,7172,2094.25,6855.01,6594.621375,2078.97
22/26a-1,Ekofisk,381147.96,6326934.89,-8691.38,8772,2548.37,8691.38,6826.78124,2546.26
22/27a-1,Ekofisk,392867.65,6329902.34,-10067.72,10158,2735.12,10067.72,6882.193504,2925.73
29/01c-9Z,Ekofisk,383846.7,6317612.36,-7908.64,8633,2309.41,7908.64,6572.049444,2406.75
