X,Y,Z,TWT auto,MD,Type,Surface,Well,Interpreter,Used by dep.conv.,Used by geo mod,Zone log,Edited by user,Symbol,Locked to fault
416304.98,6404573.35,8237.0,2484.48,8320.0,Horizon,Balder Tuff,22/8a-2,jnasseri,True,True,3.0,False,0,0
410673.67,6386053.83,8442.25,2636.36,8671.0,Horizon,Balder Tuff,22/13b-3,jnasseri,True,True,3.0,False,0,0
431449.4,6380131.22,8603.71,2671.14,8684.0,Horizon,Balder Tuff,22/15-1,jnasseri,True,True,3.0,False,0,0
432135.45,6388348.82,8182.41,2561.71,8281.0,Horizon,Balder Tuff,22/15-2,jnasseri,True,True,3.0,False,0,0
408633.58,6389611.18,8665.5,2706.43,8809.0,Horizon,Balder Tuff,22/13b-5,jnasseri,True,True,3.0,False,0,0
429453.66,6407606.25,8019.15,2513.73,8097.0,Horizon,Balder Tuff,22/10a-2,jnasseri,True,True,3.0,False,0,0
417724.05,6385532.9,8294.8,2579.02,8629.0,Horizon,Balder Tuff,22/14b-5,jnasseri,True,True,3.0,False,0,0
423270.95,6389777.35,8440.97,2619.33,8547.36,Horizon,Sele Fm,22/14a-7,ahoward,True,True,4.0,False,0,0
414063.32,6375625.34,8602.36,2661.47,8694.3,Horizon,Sele Fm,22/13b-9,ahoward,True,True,4.0,False,0,0
431449.83,6380131.3,8690.21,2689.89,8770.51,Horizon,Sele Fm,22/15-1,ahoward,True,True,4.0,False,0,0
422339.18,6379048.08,8596.44,2673.35,8894.18,Horizon,Sele Fm,22/14b-3,ahoward,True,True,4.0,False,0,0
420385.78,6381544.99,8540.86,2655.3,8623.96,Horizon,Sele Fm,22/14b-4,ahoward,True,True,4.0,False,0,0
410663.99,6386049.57,8597.09,2670.55,8829.75,Horizon,Sele Fm,22/13b-3,ahoward,True,True,4.0,False,0,0
417721.78,6385533.5,8436.9,2610.84,8771.32,Horizon,Sele Fm,22/14b-5,ahoward,True,True,4.0,False,0,0
422230.79,6386254.73,8363.19,2589.82,8444.19,Horizon,Sele Fm,22/14-1,ahoward,True,True,4.0,False,0,0
426909.76,6392021.43,8233.76,2566.56,8315.76,Horizon,Sele Fm,22/14a-2,ahoward,True,True,4.0,False,0,0
432135.59,6388348.79,8278.38,2582.68,8376.97,Horizon,Sele Fm,22/15-2,ahoward,True,True,4.0,False,0,0
426892.07,6404726.14,8170.75,2543.35,8256.0,Horizon,Sele Fm,22/9-2,jnasseri,True,True,4.0,False,0,0
409673.06,6398275.38,8435.73,2542.96,8521.0,Horizon,Sele Fm,22/8a-3,jnasseri,True,True,4.0,False,0,0
416304.98,6404573.35,8326.0,2504.55,8409.0,Horizon,Sele Fm,22/8a-2,jnasseri,True,True,4.0,False,0,0
424539.56,6370229.09,8943.1,2764.53,9026.0,Horizon,Sele Fm,22/19-2,jnasseri,True,True,4.0,False,0,0
434453.28,6370358.58,9487.17,2910.65,9570.0,Horizon,Sele Fm,22/20-1,jnasseri,True,True,4.0,False,0,0
428248.21,6396983.51,8139.81,2563.7,8251.0,Horizon,Sele Fm,22/9-1,jnasseri,True,True,4.0,False,0,0
420185.35,6405012.09,8546.67,2619.49,8684.0,Horizon,Sele Fm,22/9-5,jnasseri,True,True,4.0,False,0,0
408632.51,6389612.34,8767.37,2728.88,8911.0,Horizon,Sele Fm,22/13b-5,jnasseri,True,True,4.0,False,0,0
429453.97,6407606.24,8075.14,2525.09,8153.0,Horizon,Sele Fm,22/10a-2,jnasseri,True,True,4.0,False,0,0
424540.03,6370230.56,9039.57,2784.43,9122.6,Horizon,Top Forties,22/19-2,ahoward,True,True,5.0,False,0,0
420388.6,6381545.06,8713.53,2694.56,8796.88,Horizon,Top Forties,22/14b-4,ahoward,True,True,5.0,False,0,0
422326.82,6379037.38,8755.39,2710.37,9061.94,Horizon,Top Forties,22/14b-3,ahoward,True,True,5.0,False,0,0
417721.26,6385533.42,8630.17,2651.54,8964.61,Horizon,Top Forties,22/14b-5,ahoward,True,True,5.0,False,0,0
422230.79,6386254.73,8618.4,2642.28,8699.4,Horizon,Top Forties,22/14-1,ahoward,True,True,5.0,False,0,0
423271.2,6389777.14,8704.85,2677.21,8811.24,Horizon,Top Forties,22/14a-7,ahoward,True,True,5.0,False,0,0
414063.34,6375625.3,8701.56,2683.85,8793.5,Horizon,Top Forties,22/13b-9,ahoward,True,True,5.0,False,0,0
431450.74,6380131.41,8948.87,2742.63,9029.19,Horizon,Top Forties,22/15-1,ahoward,True,True,5.0,False,0,0
410656.5,6386046.35,8790.41,2713.65,9024.95,Horizon,Top Forties,22/13b-3,ahoward,True,True,5.0,False,0,0
426909.76,6392021.43,8503.96,2626.35,8585.96,Horizon,Top Forties,22/14a-2,ahoward,True,True,5.0,False,0,0
432135.07,6388348.58,8630.81,2662.75,8729.41,Horizon,Top Forties,22/15-2,ahoward,True,True,5.0,False,0,0
426892.23,6404726.52,8428.75,2603.12,8514.0,Horizon,Top Forties,22/9-2,jnasseri,True,True,5.0,False,0,0
409672.26,6398275.35,8574.71,2574.71,8660.0,Horizon,Top Forties,22/8a-3,jnasseri,True,True,5.0,False,0,0
416304.98,6404573.35,8506.0,2547.65,8589.0,Horizon,Top Forties,22/8a-2,jnasseri,True,True,5.0,False,0,0
428250.74,6396982.41,8421.67,2624.51,8533.0,Horizon,Top Forties,22/9-1,jnasseri,True,True,5.0,False,0,0
420184.35,6405011.97,8742.65,2665.01,8880.0,Horizon,Top Forties,22/9-5,jnasseri,True,True,5.0,False,0,0
408630.52,6389614.63,8970.12,2770.71,9114.0,Horizon,Top Forties,22/13b-5,jnasseri,True,True,5.0,False,0,0
431451.56,6380131.62,9380.42,2820.7,9460.75,Horizon,Base Forties,22/15-1,ahoward,True,True,7.0,False,0,0
422293.67,6379009.0,9179.7,2785.44,9509.78,Horizon,Base Forties,22/14b-3,ahoward,True,True,7.0,False,0,0
414063.39,6375625.42,9183.17,2771.57,9275.12,Horizon,Base Forties,22/13b-9,ahoward,True,True,7.0,False,0,0
410641.68,6386042.28,9450.23,2832.93,9686.78,Horizon,Base Forties,22/13b-3,ahoward,True,True,6.0,False,0,0
417721.23,6385533.72,9089.62,2732.56,9424.07,Horizon,Base Forties,22/14b-5,ahoward,True,True,7.0,False,0,0
426909.76,6392021.43,9065.11,2726.4,9147.11,Horizon,Base Forties,22/14a-2,ahoward,True,True,7.0,False,0,0
423271.28,6389777.1,8791.39,2693.17,8897.78,Horizon,Base Forties,22/14a-7,ahoward,True,True,7.0,False,0,0
422230.79,6386254.73,8787.32,2674.89,8868.32,Horizon,Base Forties,22/14-1,ahoward,True,True,7.0,False,0,0
432134.47,6388348.11,8815.62,2697.37,8914.23,Horizon,Base Forties,22/15-2,ahoward,True,True,7.0,False,0,0
420395.68,6381543.64,9257.54,2795.59,9341.41,Horizon,Base Forties,22/14b-4,ahoward,True,True,7.0,False,0,0
424542.1,6370236.45,9428.22,2850.71,9511.79,Horizon,Lista Fm,22/19-2,ahoward,True,True,8.0,False,0,0
420396.11,6381543.54,9290.6,2802.51,9374.5,Horizon,Lista Fm,22/14b-4,ahoward,True,True,8.0,False,0,0
422290.34,6379006.21,9221.08,2792.76,9553.54,Horizon,Lista Fm,22/14b-3,ahoward,True,True,8.0,False,0,0
422230.79,6386254.73,8791.95,2675.78,8872.95,Horizon,Lista Fm,22/14-1,ahoward,True,True,8.0,False,0,0
